Description,Polygon Vertices (Lat/Lon/Alt in degrees/meters),Start Point Lat (deg),Start Point Lon (deg),Start Point Alt (m),Azimuth (deg from North),Length (m),Expected Result,Expected Error Code
Line from inside going north,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7818,0,0,500,TRUE,OK
Line from outside crossing in east,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7718,0,90,2000,TRUE,OK
Line going away from polygon,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.095299999999995,34.7818,0,0,500,FALSE,OK
Line too short to reach polygon,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7718,0,90,100,FALSE,OK
Line crossing triangle east,"(32.08,34.775,0) (32.09,34.782,0) (32.08,34.789,0)",32.085,34.77,0,90,2000,TRUE,OK
Line missing triangle north,"(32.08,34.775,0) (32.09,34.782,0) (32.08,34.789,0)",32.095,34.77,0,90,2000,FALSE,OK
Short line from inside square,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7818,0,45,50,TRUE,OK
Line from south into square,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.080299999999994,34.7818,0,0,1000,TRUE,OK
Null polygon pointer,NULL,32.0,34.0,0,0,100,TRUE,POLYGON_IS_NULL_PTR
Zero length line,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7818,0,0,0,TRUE,MAX_LENGTH_LESS_OR_EQUAL_TO_ZERO
Polygon with fewer than 3 points,"(32.0,34.0,0) (32.1,34.1,0)",32.0,34.0,0,0,100,TRUE,POLYGON_WITH_LESS_THAN_3_POINTS
