Description,Polygon Vertices (Lat/Lon/Alt in degrees/meters),Test Point Lat (deg),Test Point Lon (deg),Test Point Alt (m),Radius (m),Expected Result,Expected Error Code
Point at centre of geo square,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7818,0,0,TRUE,OK
Point well outside geo square,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.1,34.79,0,0,FALSE,OK
Point near north edge (outside),"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.087999999999994,34.7818,0,0,FALSE,OK
Point far north (outside),"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.09024999999999,34.7818,0,0,FALSE,OK
Point near south edge (outside),"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.083023,34.7818,0,0,FALSE,OK
Point on south edge,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.08305,34.7818,0,0,TRUE,OK
Point on east edge,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.784299999999995,0,0,TRUE,OK
Point on closing (west) edge,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.0853,34.7793,0,0,TRUE,OK
Triangle inside,"(32.08,34.775,0) (32.09,34.782,0) (32.08,34.789,0)",32.084,34.782,0,0,TRUE,OK
Triangle outside,"(32.08,34.775,0) (32.09,34.782,0) (32.08,34.789,0)",32.07,34.77,0,0,FALSE,OK
Triangle on vertex,"(32.08,34.775,0) (32.09,34.782,0) (32.08,34.789,0)",32.08,34.775,0,0,TRUE,OK
Point outside but radius 500m reaches edge,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.08854999999999,34.7818,0,500,TRUE,OK
Point outside with small radius misses edge,"(32.08305,34.7793,0) (32.08305,34.784299999999995,0) (32.08754999999999,34.784299999999995,0) (32.08754999999999,34.7793,0)",32.08854999999999,34.7818,0,10,FALSE,OK
Null polygon pointer,NULL,32.0,34.0,0,0,TRUE,POLYGON_IS_NULL_PTR
Polygon with fewer than 3 points,"(32.0,34.0,0) (32.1,34.1,0)",32.0,34.0,0,0,TRUE,POLYGON_WITH_LESS_THAN_3_POINTS
